category,name,url,remote_testing,adaptive_irt,test_type,page_number,source
Pre-packaged Job Solutions,Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,,,"C
P
A
B",1,SHL Catalog
Pre-packaged Job Solutions,Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,,,"A
K
P",1,SHL Catalog
Pre-packaged Job Solutions,Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,,,"A
B
P
S",1,SHL Catalog
Pre-packaged Job Solutions,Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,,,"B
P",1,SHL Catalog
Pre-packaged Job Solutions,Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,,,"B
P",1,SHL Catalog
Pre-packaged Job Solutions,Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,,,"A
B
K
P",1,SHL Catalog
Pre-packaged Job Solutions,Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,,,"A
B
P",1,SHL Catalog
Pre-packaged Job Solutions,Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,,,"A
B
P
S",1,SHL Catalog
Pre-packaged Job Solutions,Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,,,"B
P
S
A",1,SHL Catalog
Pre-packaged Job Solutions,"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,,,"P
S
K
B
A",1,SHL Catalog
Pre-packaged Job Solutions,Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,,,"A
B
P",1,SHL Catalog
Pre-packaged Job Solutions,Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,,,"B
A
P",1,SHL Catalog
Pre-packaged Job Solutions,Claims/Operations Supervisor Solution,https://www.shl.com/products/product-catalog/view/claimsoperations-supervisor-solution/,,,"P
S
A
B",2,SHL Catalog
Pre-packaged Job Solutions,Contact Center Customer Service + 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0/,,,"A
B
C
P
S",2,SHL Catalog
Pre-packaged Job Solutions,Contact Center Customer Service 8.0,https://www.shl.com/products/product-catalog/view/contact-center-customer-service-8-0-4269/,,,"S
B
C
P",2,SHL Catalog
